Date,Open,High,Low,Close,Adj Close,Volume
7/8/2016,20622.83008,20645.58984,20468.5293,20564.16992,20564.16992,1194770200
7/11/2016,20951.16992,20972.84961,20840,20880.5,20880.5,1998671500
7/12/2016,21046.93945,21252.64063,20957.25977,21224.74023,21224.74023,1970575300
7/13/2016,21356.64063,21441.23047,21279.76953,21322.36914,21322.36914,1825234400
7/14/2016,21297.53906,21581.41992,21242.92969,21561.06055,21561.06055,1939969500
7/15/2016,21589.08008,21739.21094,21515.34961,21659.25,21659.25,1784843200
7/18/2016,21656.88086,21822,21616.16016,21803.17969,21803.17969,1368767600
7/19/2016,21734.33984,21767.88086,21612.59961,21673.19922,21673.19922,1257334500
7/20/2016,21646.39063,21895.23047,21632.50977,21882.48047,21882.48047,1417286000
7/21/2016,21971.9707,22118.2207,21913.16016,22000.49023,22000.49023,1569756600
7/22/2016,21913.03906,21972.86914,21832.42969,21964.26953,21964.26953,1120997900
7/25/2016,22071.76953,22071.76953,21878.88086,21993.43945,21993.43945,1189962100
7/26/2016,21890.89063,22300.50977,21890.89063,22129.73047,22129.73047,1938257900
7/27/2016,22193.31055,22277.24023,21997.88086,22218.99023,22218.99023,1958434400
7/28/2016,22134.11914,22214.7207,22053.50977,22174.33984,22174.33984,1611124800
7/29/2016,22055.94922,22152.75,21830.46094,21891.36914,21891.36914,1745509100
8/1/2016,22027.65039,22260.94922,22027.65039,22129.14063,22129.14063,1815980500
8/2/2016,null,null,null,null,null,null
8/3/2016,21743.32031,21822.2207,21725.38086,21739.11914,21739.11914,1685374700
8/4/2016,21873.35938,21922.41992,21788.31055,21832.23047,21832.23047,1019501800
8/5/2016,21961.05078,22193.28906,21961.05078,22146.08984,22146.08984,1163973600
8/8/2016,22324.17969,22503.2793,22260.07031,22494.75977,22494.75977,1409047300
8/9/2016,22464.09961,22496.75,22402.91016,22465.60938,22465.60938,1306253700
8/10/2016,22511.09961,22618.03906,22399.28906,22492.42969,22492.42969,1564549200
8/11/2016,22412.31055,22689.93945,22359.91992,22580.55078,22580.55078,2356829800
8/12/2016,22788.88086,22816.75,22704.05078,22766.91016,22766.91016,2316030200
8/15/2016,22765.23047,22975.74023,22765.23047,22932.50977,22932.50977,2496263600
8/16/2016,23008.08984,23084.51953,22841.66016,22910.83984,22910.83984,2005620700
8/17/2016,22995.50977,23029.48047,22775.86914,22799.7793,22799.7793,2081311500
8/18/2016,23046.68945,23193.90039,22976.10938,23023.16016,23023.16016,2328376500
8/19/2016,23153.74023,23153.74023,22875.56055,22937.2207,22937.2207,2095546700
8/22/2016,22941.5293,23005.16016,22792.41992,22997.91016,22997.91016,1720666500
8/23/2016,22927.4707,22998.92969,22854.34961,22998.92969,22998.92969,1521237200
8/24/2016,23010.63086,23036.07031,22702.60938,22820.7793,22820.7793,1770177700
8/25/2016,22814.36914,22898.11914,22735.0293,22814.94922,22814.94922,1580787200
8/26/2016,22827.2207,22997.40039,22827.2207,22909.53906,22909.53906,1600056800
8/29/2016,22904.19922,22922.67969,22762.73047,22821.33984,22821.33984,1262573400
8/30/2016,22945.08008,23073.51953,22898.7793,23016.10938,23016.10938,1586826100
8/31/2016,23043.08008,23063.15039,22939.86914,22976.88086,22976.88086,1874216100
9/1/2016,22897.16016,23193.0293,22843.41992,23162.33984,23162.33984,2106535800
9/2/2016,23157.00977,23306.48047,23152.78906,23266.69922,23266.69922,2510528100
9/5/2016,23576.31055,23688.41016,23530.35938,23649.55078,23649.55078,1915393300
9/6/2016,23683.2793,23787.67969,23548.55078,23787.67969,23787.67969,1830882300
9/7/2016,23785.23047,23830.75,23695.67969,23741.81055,23741.81055,1939676800
9/8/2016,23704.35938,23928.92969,23663.58984,23919.33984,23919.33984,1686733500
9/9/2016,23924.76953,24364,23914.73047,24099.69922,24099.69922,2771690800
9/12/2016,23596.0293,23625.36914,23290.59961,23290.59961,23290.59961,2533454700
9/13/2016,23564.13086,23652.41016,23196.49023,23215.75977,23215.75977,1616669300
9/14/2016,23225.58008,23371.5293,23155.73047,23190.64063,23190.64063,1473727100
9/15/2016,23237.19922,23471.48047,23194.36914,23335.58984,23335.58984,1699911500
9/19/2016,23486.61914,23625.91992,23394.94922,23550.44922,23550.44922,2052783800
9/20/2016,23494.00977,23556.06055,23397.13086,23530.85938,23530.85938,1483540700
9/21/2016,23522.85938,23729.01953,23436.23047,23669.90039,23669.90039,1627369300
9/22/2016,23920.17969,24058.65039,23683.58008,23759.80078,23759.80078,2332001400
9/23/2016,23836.59961,23846.71094,23628.64063,23686.48047,23686.48047,1872873700
9/26/2016,23554.83008,23563.5,23276.13086,23317.91992,23317.91992,1652771300
9/27/2016,23356.0293,23646.0293,23295.05078,23571.90039,23571.90039,1816391200
9/28/2016,23455.73047,23619.65039,23370.43945,23619.65039,23619.65039,1524350900
9/29/2016,23828.59961,23828.59961,23607.99023,23739.4707,23739.4707,1606079200
9/30/2016,23435.28906,23484.36914,23239.35938,23297.15039,23297.15039,1674842700
10/3/2016,23652.83008,23698.30078,23500.71094,23584.42969,23584.42969,953365300
10/4/2016,23665.34961,23689.43945,23518.56055,23689.43945,23689.43945,1008151200
10/5/2016,23619.91016,23847.46094,23566.2207,23788.31055,23788.31055,1304619300
10/6/2016,23859.41016,24004.08984,23826.44922,23952.5,23952.5,1721487000
10/7/2016,23948.94922,23948.94922,23770.14063,23851.82031,23851.82031,1137835500
10/11/2016,24013.83984,24064.5,23441.07031,23549.51953,23549.51953,2157326400
10/12/2016,23386.91992,23444.66992,23267.63086,23407.05078,23407.05078,1839710900
10/13/2016,23300.38086,23347.9707,23006.11914,23031.30078,23031.30078,1957428300
10/14/2016,23119.96094,23318.35938,23087.14063,23233.31055,23233.31055,1500768600
10/17/2016,23164.53906,23177.18945,22978.00977,23037.53906,23037.53906,1121480100
10/18/2016,23130.19922,23402.89063,23130.19922,23394.39063,23394.39063,1423480700
10/19/2016,23393.80078,23445.56055,23234.66992,23304.9707,23304.9707,1009919700
10/20/2016,23412.67969,23500.82031,23360.55078,23374.40039,23374.40039,1091055700
10/21/2016,null,null,null,null,null,null
10/24/2016,23431.63086,23620.08984,23235.60938,23604.08008,23604.08008,1804798700
10/25/2016,23581.68945,23631.33984,23506.64063,23565.10938,23565.10938,1182922100
10/26/2016,23396.14063,23464.0293,23310.23047,23325.42969,23325.42969,1029317700
10/27/2016,23347.18945,23352.61914,23002.5293,23132.34961,23132.34961,1551943100
10/28/2016,23088.83008,23157.73047,22847.73047,22954.81055,22954.81055,1215041700
10/31/2016,22845.82031,23045.5293,22775.28906,22934.53906,22934.53906,1297925200
11/1/2016,23015.06055,23268.05078,23015.06055,23147.07031,23147.07031,1537970700
11/2/2016,22946.06055,22956.84961,22785.34961,22810.5,22810.5,1054518000
11/3/2016,22708.55078,22855.00977,22683.50977,22683.50977,22683.50977,1132688600
